Domain,Origin,Action,Comment
lovingexpressions.net,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech, nazism, racism"
mapsupport.de,"Garden Fence (2025-10-12)","Suspend","harassment, inappropriate, underage"
mastinator.com,"Garden Fence (2025-10-12)","Suspend","bots, harassment, spam"
merovingian.club,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-associated, hate-speech"
midwaytrades.com,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, hate-associated"
mirr0r.city,"Garden Fence (2025-10-12)","Suspend","hate-associated, inappropriate, underage"
misskey-forkbomb.cf,"Garden Fence (2025-10-12)","Suspend","dos, spam"
mostr.pub,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech, spam"
mugicha.club,"Garden Fence (2025-10-12)","Suspend","hate-speech, racism"
nationalist.social,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech, nazism, racism"
nicecrew.digital,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-speech, racism"
nightshift.social,"Garden Fence (2025-10-12)","Suspend","antivax, conspiracy, harassment, hate-associated, hate-speech, racism"
nnia.space,"Garden Fence (2025-10-12)","Suspend","alt-right, harassment, underage"
noagendasocial.com,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech"
noauthority.social,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, conspiracy, harassment, hate-speech, racism"
nobodyhasthe.biz,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-speech, racism"
norwoodzero.net,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-associated, hate-speech, nazism, racism"
novoa.nagoya,"Garden Fence (2025-10-12)","Suspend","antisemitism, harassment, hate-associated, hate-speech, racism"
nyanide.com,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-speech, nazism, racism"
oddballs.online,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
outpoa.st,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech, racism"
parcero.bond,"Garden Fence (2025-10-12)","Suspend","hate-speech, racism"
parcero.casa,"Garden Fence (2025-10-12)","Suspend","harassment, hate-speech"
pawoo.net,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
pedo.school,Garden Fence (2025-10-12),"Suspend","underage"
pibvt.net,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
pieville.net,"Garden Fence (2025-10-12)","Suspend","harassment, hate-speech, nazism, racism, white-supremacy"
pisskey.io,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech"
pkteerium.xyz,"Garden Fence (2025-10-12)","Suspend","alt-right, conspiracy"
poa.st,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, hate-speech, nazism, racism, spam"
pone.social,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-associated, racism, underage"
poster.place,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, hate-associated, hate-speech, nazism, racism"
quanta.wiki,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, hate-associated"
rape.pet,"Garden Fence (2025-10-12)","Suspend","inappropriate, underage"
rapemeat.solutions,"Garden Fence (2025-10-12)","Suspend","hate-speech, inappropriate, underage"
rdrama.cc,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-speech, racism"
refusal.biz,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech, inappropriate, underage"
repl.co,"Garden Fence (2025-10-12)","Suspend","dos, spam"
republic.red,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, conspiracy, fascism, hate-speech"
rojogato.com,"Garden Fence (2025-10-12)","Suspend","harassment, hate-speech"
rot.gives,"Garden Fence (2025-10-12)","Suspend","hate-speech, inappropriate, racism, underage"
ryona.agency,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-speech, racism"
schwartzwelt.xyz,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech"
seal.cafe,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, antisemitism, harassment, hate-associated, hate-speech, racism"
shitpost.cloud,"Garden Fence (2025-10-12)","Suspend","alt-right, harassment, hate-speech, racism"
shitposter.club,"Garden Fence (2025-10-12)","Suspend","alt-right, harassment"
shitposter.world,"Garden Fence (2025-10-12)","Suspend","alt-right, harassment"
shortstacksran.ch,"Garden Fence (2025-10-12)","Suspend","antisemitism, hate-associated, hate-speech, racism"
shota.house,"Garden Fence (2025-10-12)","Suspend","alt-right, inappropriate, underage"
shrimpposter.club,"Garden Fence (2025-10-12)","Suspend","harassment, hate-associated, hate-speech"
sixguns.com,"Garden Fence (2025-10-12)","Suspend","alt-right, conspiracy, harassment"
skinheads.social,"Garden Fence (2025-10-12)","Suspend","hate-associated, hate-speech, nazism, white-supremacy"
skippers-bin.com,"Garden Fence (2025-10-12)","Suspend","inappropriate, nazism, underage"
sneed.social,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, antisemitism, fascism, hate-speech, racism"
spinster.xyz,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, hate-speech"
springbo.cc,"Garden Fence (2025-10-12)","Suspend","alt-right, anti-lgbtq, harassment, racism"
stereophonic.space,"Garden Fence (2025-10-12)","Suspend","alt-right, harassment, hate-associated"
strelizia.net,"Garden Fence (2025-10-12)","Suspend","hate-speech, underage"
tastingtraffic.net,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, spam"
teci.world,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-associated"
theblab.org,"Garden Fence (2025-10-12)","Suspend","hate-speech, racism"
truthsocial.co.in,"Garden Fence (2025-10-12)","Suspend","alt-right, hate-speech"
usualsuspects.lol,"Garden Fence (2025-10-12)","Suspend","anti-lgbtq, harassment, hate-speech"
